sample	sample_short	region	comuna	region_num	UTME	UTMS	Time.Zone	Latitude	Longitude	Age	Sex	Weight	Totallenght	Forearmlenght	Traguslenght	Traguswidth	Earlength	Earwidth	fifthfingerlenght	region_num_col	region_short	comunashort	replicate	hasreplicate	regioncol	missing	dnaconc	regioncol_corr	region_num_corr	region_corr
461B	461	Magallanes	Puerto Natales	5	671837	4265888	18F	-51.71095	-72.51273744	A	H	NA	NA	40	NA	NA	NA	NA	NA	cyan	Mag	Nat	2	TRUE	purple1	4156	2124	purple1	5	Magallanes
463A	463	Araucanía	Villarrica	3	750447	5645825	18H	-39.285082	-72.09628668	A	H	NA	NA	38.6	NA	NA	NA	NA	NA	green	Ara	Vil	1	FALSE	lightgreen	2525	3972	lightgreen	3	Araucanía
464A	464	Araucanía	Villarrica	3	750447	5645825	18H	-39.285082	-72.09628668	A	H	NA	NA	39.8	NA	NA	NA	NA	NA	green	Ara	Vil	1	TRUE	lightgreen	3201	914	lightgreen	3	Araucanía
464B	464	Araucanía	Villarrica	3	750447	5645825	18H	-39.285082	-72.09628668	A	H	NA	NA	39.8	NA	NA	NA	NA	NA	green	Ara	Vil	2	TRUE	lightgreen	2969	914	lightgreen	3	Araucanía
465A	465	Araucanía	Villarrica	3	750447	5645825	18H	-39.285082	-72.09628668	A	H	NA	NA	38.7	NA	NA	NA	NA	NA	green	Ara	Vil	1	FALSE	lightgreen	5514	5667	lightgreen	3	Araucanía
483A	483	Metropolitana	Colina	2	340050	6321480	19H	-33.220534	-70.71641614	A	M	NA	NA	37	NA	NA	NA	NA	NA	red	Met	Col	1	FALSE	red3	10249	816	red3	2	Metropolitana
486A	486	Maule	Colbún	2	281525	6046722	19H	-35.684996	-71.41426684	A		NA	NA	38	NA	NA	NA	NA	NA	red	Mau	Col	1	FALSE	salmon	5719	1372	salmon	2	Maule
487A	487	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	5.6	84.4	36.8	4.9	1.7	11	5.7	41.1	red	Met	Lam	1	FALSE	red3	5862	674	red3	2	Metropolitana
488A	488	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	5	77.7	38.4	6.4	1.9	11.4	6.3	43.9	red	Met	Lam	1	TRUE	red3	9563	999	red3	2	Metropolitana
488B	488	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	5	77.7	38.4	6.4	1.9	11.4	6.3	43.9	red	Met	Lam	2	TRUE	red3	6464	999	red3	2	Metropolitana
490A	490	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	5.4	78.2	35.3	5.4	1.8	10.9	5.6	44.2	red	Met	Lam	1	FALSE	red3	6683	650	red3	2	Metropolitana
491A	491	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	5.8	79.3	37	6.1	2.1	12.2	6.6	44.1	red	Met	Lam	1	TRUE	red3	6219	722	red3	2	Metropolitana
491B	491	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	5.8	79.3	37	6.1	2.1	12.2	6.6	44.1	red	Met	Lam	2	TRUE	red3	10558	722	red3	2	Metropolitana
497A	497	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6.4	78.7	38.2	4.5	1.3	9.6	5.6	46	red	Met	Lam	1	FALSE	red3	5647	581	red3	2	Metropolitana
498A	498	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6.4	79.8	37.8	5.2	1.8	9.9	6.7	44.3	red	Met	Lam	1	TRUE	red3	5708	806	red3	2	Metropolitana
498B	498	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6.4	79.8	37.8	5.2	1.8	9.9	6.7	44.3	red	Met	Lam	2	TRUE	red3	5449	806	red3	2	Metropolitana
501A	501	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6	76.3	39.5	5.7	1.5	12.1	6.8	45.4	red	Met	Lam	1	FALSE	red3	5979	528	red3	2	Metropolitana
502A	502	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	7	79	36.4	6.6	1.7	12.7	6.5	43.5	red	Met	Lam	1	FALSE	red3	4467	823	red3	2	Metropolitana
505A	505	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	NA	NA	NA	NA	NA	NA	NA	NA	red	Met	Lam	1	TRUE	red3	6147	1472	red3	2	Metropolitana
505B	505	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	NA	NA	NA	NA	NA	NA	NA	NA	red	Met	Lam	2	TRUE	red3	5447	1472	red3	2	Metropolitana
506A	506	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	NA	NA	NA	NA	NA	NA	NA	NA	red	Met	Lam	1	FALSE	red3	13142	663	red3	2	Metropolitana
507A	507	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	NA	NA	NA	NA	NA	NA	NA	NA	red	Met	Lam	1	TRUE	red3	8224	831	red3	2	Metropolitana
507B	507	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	NA	NA	NA	NA	NA	NA	NA	NA	red	Met	Lam	2	TRUE	red3	7462	831	red3	2	Metropolitana
510A	510	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6.6	68.2	35.4	4.1	1.5	10.2	5.6	43.6	red	Met	Lam	1	FALSE	red3	5838	651	red3	2	Metropolitana
513A	513	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6	69.8	36.5	5.9	1.5	12	5.6	45.4	red	Met	Lam	1	TRUE	red3	18796	202	red3	2	Metropolitana
513B	513	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6	69.8	36.5	5.9	1.5	12	5.6	45.4	red	Met	Lam	2	TRUE	red3	17616	202	red3	2	Metropolitana
514A	514	Metropolitana	Lampa	2	318377	6324916	19H	-33.186147	-70.94819205	A	M	6.6	77.6	36.4	6.1	1.9	11.2	5.8	41.5	red	Met	Lam	1	FALSE	red3	11225	741	red3	2	Metropolitana
522A	522	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	8.8	82.6	37.8	4.9	1.5	11.9	5.8	43.3	cyan	Mag	Cam	1	FALSE	purple4	6542	3696	purple4	5	Cameron
525A	525	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	11	80.6	39.6	5.3	1.7	13.4	5.4	44.9	cyan	Mag	Cam	1	TRUE	purple4	3280	1820	purple4	5	Cameron
525B	525	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	11	80.6	39.6	5.3	1.7	13.4	5.4	44.9	cyan	Mag	Cam	2	TRUE	purple4	3430	1820	purple4	5	Cameron
526A	526	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	8	86	38.8	5.8	1.6	12.2	4.8	45.1	cyan	Mag	Cam	1	TRUE	purple4	7119	3352	purple4	5	Cameron
526B	526	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	8	86	38.8	5.8	1.6	12.2	4.8	45.1	cyan	Mag	Cam	2	TRUE	purple4	6782	3352	purple4	5	Cameron
530A	530	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	11	85.6	39.1	5.2	1.5	12.3	3.9	45.9	cyan	Mag	Cam	1	FALSE	purple4	3542	3070	purple4	5	Cameron
540A	540	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	8.8	80.4	39.6	6.2	1.5	10.8	5.6	47.2	cyan	Mag	Cam	1	TRUE	purple4	4956	2991	purple4	5	Cameron
540B	540	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	8.8	80.4	39.6	6.2	1.5	10.8	5.6	47.2	cyan	Mag	Cam	2	TRUE	purple4	5740	2991	purple4	5	Cameron
542A	542	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	7	77.9	32.6	5.7	1.2	11.5	6.4	43.5	cyan	Mag	Cam	1	TRUE	purple4	3052	3305	purple4	5	Cameron
542B	542	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	7	77.9	32.6	5.7	1.2	11.5	6.4	43.5	cyan	Mag	Cam	2	TRUE	purple4	3837	3305	purple4	5	Cameron
543A	543	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	7	76.8	37.5	6.1	1.7	9.2	4.4	43.1	cyan	Mag	Cam	1	TRUE	purple4	3122	1770	purple4	5	Cameron
543B	543	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	7	76.8	37.5	6.1	1.7	9.2	4.4	43.1	cyan	Mag	Cam	2	TRUE	purple4	4180	1770	purple4	5	Cameron
546A	546	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	11.9	86.9	38.8	5.6	1.8	9.7	6.1	48	cyan	Mag	Cam	1	FALSE	purple4	6002	6973	purple4	5	Cameron
549A	549	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	M	7.8	84.7	38	5.1	1.7	10.3	4.6	41.8	cyan	Mag	Cam	1	FALSE	purple4	6359	3306	purple4	5	Cameron
